title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
Sharp Objects,£47.82,Four,In stock,Mystery,47.82,4,True,5045.01
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery,19.63,1,True,2070.96
The Past Never Ends,£56.50,Four,In stock,Mystery,56.5,4,True,5960.75
A Murder in Time,£16.64,One,In stock,Mystery,16.64,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery,44.1,4,True,4652.55
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery,54.21,2,True,5719.16
That Darkness (Gardiner and Renner #1),£13.92,One,In stock,Mystery,13.92,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery,10.69,1,True,1127.79
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock,Mystery,48.35,5,True,5100.92
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,In stock,Mystery,16.73,2,True,1765.02
Poisonous (Max Revere Novels #3),£26.80,Three,In stock,Mystery,26.8,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock,Mystery,54.36,4,True,5734.98
Most Wanted,£35.28,Three,In stock,Mystery,35.28,3,True,3722.04
Hide Away (Eve Duncan #20),£11.84,One,In stock,Mystery,11.84,1,True,1249.12
Boar Island (Anna Pigeon #19),£59.48,Three,In stock,Mystery,59.48,3,True,6275.14
The Widow,£27.26,Two,In stock,Mystery,27.26,2,True,2875.93
Playing with Fire,£13.71,Three,In stock,Mystery,13.71,3,True,1446.41
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock,Mystery,25.37,5,True,2676.54
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock,Mystery,52.3,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock,Mystery,20.89,4,True,2203.9
