
============================================================
QUERY 1 - SELECT + WHERE
============================================================

SQL QUERY:
SELECT *
FROM books
WHERE rating >= 4

OUTPUT:
 book_id                                                                    title  price_gbp  price_inr  rating  in_stock  category_id
       1                                                            Sharp Objects      47.82    5045.01       4         1            1
       3                                                      The Past Never Ends      56.50    5960.75       4         1            1
       5                          The Murder of Roger Ackroyd (Hercule Poirot #4)      44.10    4652.55       4         1            1
       9                                   A Time of Torment (Charlie Parker #14)      48.35    5100.92       5         1            1
      12                    Murder at the 42nd Street Library (Raymond Ambler #1)      54.36    5734.98       4         1            1
      18        What Happened on Beale Street (Secrets of the South Mysteries #2)      25.37    2676.54       5         1            1
      19 The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)      52.30    5517.65       5         1            1
      20                         Delivering the Truth (Quaker Midwife Mystery #1)      20.89    2203.90       4         1            1
      21                      The Mysterious Affair at Styles (Hercule Poirot #1)      24.80    2616.40       4         1            1
      23                                        The Silkworm (Cormoran Strike #2)      23.05    2431.78       5         1            1
      28   The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)      57.70    6087.35       4         1            1
      29                                                        The Girl You Lost      12.29    1296.59       5         1            1
      35                                  A Flight of Arrows (The Pathfinders #2)      55.53    5858.42       5         1            2
      37                                                             Mrs. Houdini      30.25    3191.38       5         1            2
      38                                                The Marriage of Opposites      28.08    2962.44       4         1            2
      41                                                        A Paris Apartment      39.01    4115.55       4         1            2
      45                          World Without End (The Pillars of the Earth #2)      32.97    3478.34       4         1            2
      46                                                    The Passion of Dolssa      28.32    2987.76       5         1            2
      48                                                   Voyager (Outlander #3)      21.07    2222.89       5         1            2
      49                                                             The Red Tent      35.66    3762.13       5         1            2
      53                                                   Between Shades of Gray      20.79    2193.34       5         1            2
      54                                                      While You Were Mine      41.32    4359.26       5         1            2
      57                                                    Lost Among the Living      27.70    2922.35       4         1            2
      58                        A Spy's Devotion (The Regency Spies of London #1)      16.97    1790.33       5         1            2
      59                                               Chase Me (Paris Nights #2)      25.27    2665.98       5         1            3
      60                                                               Black Dust      34.53    3642.92       5         1            3
      62                                       First and First (Five Boroughs #3)      15.97    1684.84       4         1            3
      66                                                 Something More Than This      16.24    1713.32       4         1            3
      70                                                      Dirty (Dive Bar #1)      40.83    4307.56       4         1            3
      73                         A Gentleman's Position (Society of Gentlemen #3)      14.75    1556.12       5         1            3
      89                                                        Imperfect Harmony      34.74    3665.07       4         1            3
      91                                          Deep Under (Walker Security #1)      47.09    4968.00       5         1            3
      93                                            Bounty (Colorado Mountain #7)      37.26    3930.93       4         1            3
      95                                              Private Paris (Private #10)      47.61    5022.85       5         1            4
      96                                             We Love You, Charlie Freeman      50.27    5303.48       5         1            4
      97                                                                   Thirst      17.27    1821.98       5         1            4
     100                                                          The Vacationers      42.15    4446.82       4         1            4
     101                                     The Regional Office Is Under Attack!      51.36    5418.48       5         1            4
     102                                 Finders Keepers (Bill Hodges Trilogy #2)      53.53    5647.42       5         1            4
     103                                                          The Time Keeper      27.88    2941.34       5         1            4
     104                                                    The Testament of Mary      52.67    5556.68       4         1            4
     108                                                                    Shtum      55.84    5891.12       4         1            4
     112                                                I Am Pilgrim (Pilgrim #1)      10.60    1118.30       4         1            4
     114                                                     Eight Hundred Grapes      14.39    1518.14       4         1            4
     115                                                       Dear Mr. Knightley      11.21    1182.66       5         1            4
     119                                  The Silent Sister (Riley MacPherson #1)      46.29    4883.60       5         1            4
     129                                                        Hystopia: A Novel      21.96    2316.78       4         1            4
     130                                    The Bourne Identity (Jason Bourne #1)      42.78    4513.29       4         1            4
     131                                                              Sister Dear      40.20    4241.10       4         1            4
     134                                                          Deception Point      40.32    4253.76       4         1            4
     138                                                               Siddhartha      34.22    3610.21       5         1            4
     140                                                         Digital Fortress      58.00    6119.00       5         1            4
     141                                                           Atlas Shrugged      26.58    2804.19       5         1            4
     143                                                          The Nightingale      26.26    2770.43       4         1            4
     145                                                     The Husband's Secret      52.51    5539.80       5         1            4
     150                                              Inferno (Robert Langdon #4)      41.00    4325.50       5         1            4
     151                                 Crazy Rich Asians (Crazy Rich Asians #1)      49.13    5183.22       5         1            4
     155                                                          The Silent Wife      12.34    1301.87       5         1            4
     157                                            Kitchens of the Great Midwest      57.20    6034.60       5         1            4
     158                                                             Bright Lines      39.07    4121.88       5         1            4


============================================================
QUERY 2 - ORDER BY
============================================================

SQL QUERY:
SELECT *
FROM books
ORDER BY price_gbp DESC

OUTPUT:
 book_id                                                                     title  price_gbp  price_inr  rating  in_stock  category_id
      76                                        The Perfect Play (Play by Play #1)      59.99    6328.95       3         1            3
     139                                         Last One Home (New Beginnings #1)      59.98    6327.89       3         1            4
      15                                             Boar Island (Anna Pigeon #19)      59.48    6275.14       3         1            1
     121                                                 The Improbability of Love      59.45    6271.98       1         1            4
      88                                                  Listen to Me (Fusion #1)      58.99    6223.45       3         1            3
     128                                                           Miller's Valley      58.54    6175.97       2         1            4
     140                                                          Digital Fortress      58.00    6119.00       5         1            4
      28    The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)      57.70    6087.35       4         1            1
     157                                             Kitchens of the Great Midwest      57.20    6034.60       5         1            4
     120                                                          The Dinner Party      56.54    5964.97       2         1            4
       3                                                       The Past Never Ends      56.50    5960.75       4         1            1
      79                                                        A Walk to Remember      56.43    5953.36       1         1            3
      65                                          Suddenly in Love (Lake Haven #1)      55.99    5906.95       2         1            3
     108                                                                     Shtum      55.84    5891.12       4         1            4
      50                                          The Last Painting of Sara de Vos      55.55    5860.52       2         1            2
      35                                   A Flight of Arrows (The Pathfinders #2)      55.53    5858.42       5         1            2
      12                     Murder at the 42nd Street Library (Raymond Ambler #1)      54.36    5734.98       4         1            1
       6                                            The Last Mile (Amos Decker #2)      54.21    5719.16       2         1            1
      98                         The Murder That Never Was (Forensic Instincts #5)      54.11    5708.60       3         1            4
      32                                       1st to Die (Women's Murder Club #1)      53.98    5694.89       1         1            1
      71                               Take Me Home Tonight (Rock Star Romance #3)      53.98    5694.89       3         1            3
      33                                                        Tipping the Velvet      53.74    5669.57       1         1            2
     102                                  Finders Keepers (Bill Hodges Trilogy #2)      53.53    5647.42       5         1            4
     104                                                     The Testament of Mary      52.67    5556.68       4         1            4
     145                                                      The Husband's Secret      52.51    5539.80       5         1            4
      19  The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)      52.30    5517.65       5         1            1
     154                                                             When I'm Gone      51.96    5481.78       3         1            4
     101                                      The Regional Office Is Under Attack!      51.36    5418.48       5         1            4
     127                                            The High Mountains of Portugal      51.15    5396.32       1         1            4
      96                                              We Love You, Charlie Freeman      50.27    5303.48       5         1            4
      94                                                                Soumission      50.10    5285.55       1         1            4
